Filename, Fuzzy Messages, Total Message, Achievement
l10n/po/ja_JP/_guides/security-jpa.adoc.po, 0, 100,100%
l10n/po/ja_JP/_guides/qute.adoc.po, 1, 122,100%
l10n/po/ja_JP/_guides/picocli.adoc.po, 0, 72,100%
l10n/po/ja_JP/_guides/jgit.adoc.po, 0, 11,100%
l10n/po/ja_JP/_guides/infinispan-embedded.adoc.po, 0, 28,100%
l10n/po/ja_JP/_guides/gradle-config.adoc.po, 0, 9,100%
l10n/po/ja_JP/_guides/getting-started.adoc.po, 0, 127,100%
l10n/po/ja_JP/_guides/flyway.adoc.po, 0, 42,100%
l10n/po/ja_JP/_guides/container-image.adoc.po, 0, 47,100%
l10n/po/ja_JP/_guides/config.adoc.po, 0, 75,100%
l10n/po/ja_JP/_guides/cli-tooling.adoc.po, 0, 44,100%
l10n/po/ja_JP/_guides/camel.adoc.po, 0, 3,100%
l10n/po/ja_JP/_guides/building-native-image.adoc.po, 0, 176,100%
l10n/po/ja_JP/_guides/blaze-persistence.adoc.po, 0, 55,100%
l10n/po/ja_JP/_guides/scheduler.adoc.po, 1, 70,99%
l10n/po/ja_JP/_guides/spring-cache.adoc.po, 3, 77,97%
l10n/po/ja_JP/_guides/logging-sentry.adoc.po, 1, 26,97%
l10n/po/ja_JP/_guides/getting-started-testing.adoc.po, 15, 232,94%
l10n/po/ja_JP/_guides/lifecycle.adoc.po, 6, 83,93%
l10n/po/ja_JP/_guides/command-mode-reference.adoc.po, 3, 39,93%
l10n/po/ja_JP/_guides/validation.adoc.po, 10, 115,92%
l10n/po/ja_JP/_guides/security-properties.adoc.po, 4, 43,91%
l10n/po/ja_JP/_guides/faq.adoc.po, 1, 10,90%
l10n/po/ja_JP/_guides/security-built-in-authentication.adoc.po, 5, 38,87%
l10n/po/ja_JP/_guides/context-propagation.adoc.po, 4, 29,87%
l10n/po/ja_JP/_guides/security.adoc.po, 11, 69,85%
l10n/po/ja_JP/_guides/topic/container-first.adoc.po, 3, 12,75%
l10n/po/ja_JP/_guides/security-ldap.adoc.po, 19, 67,72%
l10n/po/ja_JP/_guides/cdi.adoc.po, 43, 151,72%
l10n/po/ja_JP/_guides/amazon-iam.adoc.po, 2, 7,72%
l10n/po/ja_JP/_guides/security-jdbc.adoc.po, 24, 81,71%
l10n/po/ja_JP/_guides/maven-tooling.adoc.po, 52, 164,69%
l10n/po/ja_JP/_guides/gradle-tooling.adoc.po, 45, 143,69%
l10n/po/ja_JP/_guides/amazon-sns.adoc.po, 58, 176,68%
l10n/po/ja_JP/_guides/amazon-dynamodb.adoc.po, 50, 128,61%
l10n/po/ja_JP/_guides/opentracing.adoc.po, 32, 79,60%
l10n/po/ja_JP/_guides/reactive-messaging-http.adoc.po, 45, 108,59%
l10n/po/ja_JP/_guides/kubernetes-client.adoc.po, 33, 78,58%
l10n/po/ja_JP/_guides/websockets.adoc.po, 30, 68,56%
l10n/po/ja_JP/_guides/security-customization.adoc.po, 37, 83,56%
l10n/po/ja_JP/_guides/amazon-sqs.adoc.po, 47, 106,56%
l10n/po/ja_JP/_guides/spring-data-jpa.adoc.po, 84, 185,55%
l10n/po/ja_JP/_guides/kafka-streams.adoc.po, 124, 275,55%
l10n/po/ja_JP/_guides/building-substrate-howto.adoc.po, 11, 24,55%
l10n/po/ja_JP/_guides/amazon-s3.adoc.po, 66, 146,55%
l10n/po/ja_JP/_guides/cache.adoc.po, 70, 151,54%
l10n/po/ja_JP/_guides/mongodb.adoc.po, 80, 169,53%
l10n/po/ja_JP/_guides/kotlin.adoc.po, 48, 101,53%
l10n/po/ja_JP/_guides/spring-boot-properties.adoc.po, 42, 86,52%
l10n/po/ja_JP/_guides/topic/standards.adoc.po, 3, 6,50%
l10n/po/ja_JP/_guides/redis.adoc.po, 73, 146,50%
l10n/po/ja_JP/_guides/hibernate-orm-panache.adoc.po, 124, 244,50%
l10n/po/ja_JP/_guides/all-builditems.adoc.po, 2, 4,50%
l10n/po/ja_JP/_guides/quartz.adoc.po, 67, 128,48%
l10n/po/ja_JP/_guides/optaplanner.adoc.po, 119, 225,48%
l10n/po/ja_JP/_guides/jms.adoc.po, 49, 94,48%
l10n/po/ja_JP/_guides/hibernate-orm-panache-kotlin.adoc.po, 24, 46,48%
l10n/po/ja_JP/_guides/funqy.adoc.po, 21, 40,48%
l10n/po/ja_JP/_guides/rest-client.adoc.po, 79, 147,47%
l10n/po/ja_JP/_guides/microprofile-graphql.adoc.po, 116, 215,47%
l10n/po/ja_JP/_guides/microprofile-fault-tolerance.adoc.po, 62, 116,47%
l10n/po/ja_JP/_guides/centralized-log-management.adoc.po, 41, 76,47%
l10n/po/ja_JP/_guides/mongodb-panache.adoc.po, 160, 296,46%
l10n/po/ja_JP/_guides/micrometer.adoc.po, 46, 85,46%
l10n/po/ja_JP/_guides/getting-started-reactive.adoc.po, 133, 244,46%
l10n/po/ja_JP/_guides/consul-config.adoc.po, 26, 48,46%
l10n/po/ja_JP/_guides/amazon-kms.adoc.po, 44, 81,46%
l10n/po/ja_JP/_guides/vault-transit.adoc.po, 39, 70,45%
l10n/po/ja_JP/_guides/vault-datasource.adoc.po, 48, 86,45%
l10n/po/ja_JP/_guides/rest-client-multipart.adoc.po, 49, 89,45%
l10n/po/ja_JP/_guides/mailer.adoc.po, 59, 106,45%
l10n/po/ja_JP/_guides/grpc-service-consumption.adoc.po, 33, 59,45%
l10n/po/ja_JP/_guides/funqy-http.adoc.po, 38, 68,45%
l10n/po/ja_JP/_guides/tests-with-coverage.adoc.po, 54, 95,44%
l10n/po/ja_JP/_guides/liquibase.adoc.po, 28, 50,44%
l10n/po/ja_JP/_guides/kafka.adoc.po, 122, 215,44%
l10n/po/ja_JP/_guides/vault.adoc.po, 88, 153,43%
l10n/po/ja_JP/_guides/spring-di.adoc.po, 62, 107,43%
l10n/po/ja_JP/_guides/scripting.adoc.po, 64, 111,43%
l10n/po/ja_JP/_guides/amqp.adoc.po, 62, 108,43%
l10n/po/ja_JP/_guides/topic/continuum.adoc.po, 33, 56,42%
l10n/po/ja_JP/_guides/security-keycloak-authorization.adoc.po, 65, 111,42%
l10n/po/ja_JP/_guides/security-openid-connect-multitenancy.adoc.po, 84, 141,41%
l10n/po/ja_JP/_guides/microprofile-metrics.adoc.po, 38, 64,41%
l10n/po/ja_JP/_guides/spring-scheduled.adoc.po, 51, 85,40%
l10n/po/ja_JP/_guides/security-openid-connect.adoc.po, 72, 119,40%
l10n/po/ja_JP/_guides/amazon-ses.adoc.po, 47, 78,40%
l10n/po/ja_JP/_guides/vertx.adoc.po, 128, 209,39%
l10n/po/ja_JP/_guides/vault-auth.adoc.po, 67, 109,39%
l10n/po/ja_JP/_guides/spring-cloud-config-client.adoc.po, 30, 49,39%
l10n/po/ja_JP/_guides/security-oauth2.adoc.po, 68, 110,39%
l10n/po/ja_JP/_guides/reactive-event-bus.adoc.po, 64, 102,38%
l10n/po/ja_JP/_guides/openapi-swaggerui.adoc.po, 74, 119,38%
l10n/po/ja_JP/_guides/microprofile-health.adoc.po, 63, 101,38%
l10n/po/ja_JP/_guides/elasticsearch.adoc.po, 69, 111,38%
l10n/po/ja_JP/_guides/cassandra.adoc.po, 99, 159,38%
l10n/po/ja_JP/_guides/spring-security.adoc.po, 81, 128,37%
l10n/po/ja_JP/_guides/reactive-messaging.adoc.po, 57, 90,37%
l10n/po/ja_JP/_guides/hibernate-search-orm-elasticsearch.adoc.po, 149, 236,37%
l10n/po/ja_JP/_guides/credentials-provider.adoc.po, 38, 60,37%
l10n/po/ja_JP/_guides/sending-emails.adoc.po, 51, 79,36%
l10n/po/ja_JP/_guides/ide-configuration.adoc.po, 40, 62,36%
l10n/po/ja_JP/_guides/grpc-service-implementation.adoc.po, 45, 70,36%
l10n/po/ja_JP/_guides/resteasy-reactive.adoc.po, 275, 423,35%
l10n/po/ja_JP/_guides/reactive-sql-clients.adoc.po, 120, 182,35%
l10n/po/ja_JP/_guides/infinispan-client.adoc.po, 71, 109,35%
l10n/po/ja_JP/_guides/grpc-getting-started.adoc.po, 59, 90,35%
l10n/po/ja_JP/_guides/gcp-functions-http.adoc.po, 45, 69,35%
l10n/po/ja_JP/_guides/spring-data-rest.adoc.po, 99, 148,34%
l10n/po/ja_JP/_guides/rest-json.adoc.po, 120, 181,34%
l10n/po/ja_JP/_guides/neo4j.adoc.po, 91, 137,34%
l10n/po/ja_JP/_guides/all-config.adoc.po, 2, 3,34%
l10n/po/ja_JP/_guides/security-authorization.adoc.po, 43, 64,33%
l10n/po/ja_JP/_guides/amazon-lambda.adoc.po, 133, 198,33%
l10n/po/ja_JP/_guides/reactive-routes.adoc.po, 134, 196,32%
l10n/po/ja_JP/_guides/dev-ui.adoc.po, 70, 102,32%
l10n/po/ja_JP/_guides/deploying-to-openshift.adoc.po, 82, 119,32%
l10n/po/ja_JP/_guides/writing-native-applications-tips.adoc.po, 69, 100,31%
l10n/po/ja_JP/_guides/security-openid-connect-web-authentication.adoc.po, 133, 192,31%
l10n/po/ja_JP/_guides/kogito.adoc.po, 99, 142,31%
l10n/po/ja_JP/_guides/gcp-functions.adoc.po, 69, 100,31%
l10n/po/ja_JP/_guides/funqy-gcp-functions.adoc.po, 63, 91,31%
l10n/po/ja_JP/_guides/kubernetes-config.adoc.po, 17, 24,30%
l10n/po/ja_JP/_guides/funqy-knative-events.adoc.po, 64, 91,30%
l10n/po/ja_JP/_guides/deploying-to-kubernetes.adoc.po, 253, 358,30%
l10n/po/ja_JP/_guides/hibernate-orm.adoc.po, 210, 294,29%
l10n/po/ja_JP/_guides/config-reference.adoc.po, 171, 239,29%
l10n/po/ja_JP/_guides/writing-extensions.adoc.po, 600, 823,28%
l10n/po/ja_JP/_guides/scheduler-reference.adoc.po, 47, 65,28%
l10n/po/ja_JP/_guides/spring-web.adoc.po, 104, 142,27%
l10n/po/ja_JP/_guides/rest-data-panache.adoc.po, 54, 73,27%
l10n/po/ja_JP/_guides/building-my-first-extension.adoc.po, 143, 194,27%
l10n/po/ja_JP/_guides/security-jwt.adoc.po, 228, 308,26%
l10n/po/ja_JP/_guides/amazon-lambda-http.adoc.po, 57, 77,26%
l10n/po/ja_JP/_guides/funqy-gcp-functions-http.adoc.po, 10, 13,24%
l10n/po/ja_JP/_guides/funqy-amazon-lambda-http.adoc.po, 10, 13,24%
l10n/po/ja_JP/_guides/cdi-reference.adoc.po, 193, 253,24%
l10n/po/ja_JP/_guides/native-and-ssl.adoc.po, 65, 84,23%
l10n/po/ja_JP/_guides/funqy-amazon-lambda.adoc.po, 77, 100,23%
l10n/po/ja_JP/_guides/deploying-to-azure-cloud.adoc.po, 49, 63,23%
l10n/po/ja_JP/_guides/qute-reference.adoc.po, 428, 538,21%
l10n/po/ja_JP/_guides/software-transactional-memory.adoc.po, 41, 51,20%
l10n/po/ja_JP/_guides/performance-measure.adoc.po, 64, 78,18%
l10n/po/ja_JP/_guides/platform.adoc.po, 52, 62,17%
l10n/po/ja_JP/_guides/deploying-to-google-cloud.adoc.po, 70, 83,16%
l10n/po/ja_JP/_guides/azure-functions-http.adoc.po, 39, 46,16%
